activity_id,branch_method,branch_time_in_child,branch_time_in_parent,experiment,experiment_id,frequency,grid,grid_label,institution_id,nominal_resolution,parent_activity_id,parent_experiment_id,parent_source_id,parent_time_units,parent_variant_label,product,realm,source_id,source_type,sub_experiment,sub_experiment_id,table_id,variable_id,variant_label,member_id,standard_name,long_name,units,vertical_levels,init_year,start_time,end_time,time_range,path,version
CMIP,standard,0.0,21914.0,all-forcing simulation of the recent past,historical,6hr,LMDZ grid,gr,IPSL,250 km,C M I P,piControl,IPSL-CM6A-LR-INCA,days since 1850-01-01 00:00:00,r1i1p1f1,model-output,aerosol,IPSL-CM6A-LR-INCA,AOGCM BGC AER,none,none,6hrPlev,bldep,r1i1p1f1,r1i1p1f1,atmosphere_boundary_layer_thickness,Boundary Layer Depth,m,1,,1850-01-01 03:00:00,2014-12-31 21:00:00,1850-01-01 03:00:00-2014-12-31 21:00:00,/uda/cmip6/CMIP/IPSL/IPSL-CM6A-LR-INCA/historical/r1i1p1f1/6hrPlev/bldep/gr/v20210216/bldep_6hrPlev_IPSL-CM6A-LR-INCA_historical_r1i1p1f1_gr_185001010300-201412312100.nc,v20210216
CMIP,standard,0.0,21914.0,all-forcing simulation of the recent past,historical,6hr,LMDZ grid,gr,IPSL,250 km,C M I P,piControl,IPSL-CM6A-LR-INCA,days since 1850-01-01 00:00:00,r1i1p1f1,model-output,atmos,IPSL-CM6A-LR-INCA,AOGCM BGC AER,none,none,6hrPlev,sfcWind,r1i1p1f1,r1i1p1f1,wind_speed,Near-Surface Wind Speed,m s-1,1,,1850-01-01 03:00:00,2014-12-31 21:00:00,1850-01-01 03:00:00-2014-12-31 21:00:00,/uda/cmip6/CMIP/IPSL/IPSL-CM6A-LR-INCA/historical/r1i1p1f1/6hrPlev/sfcWind/gr/v20210216/sfcWind_6hrPlev_IPSL-CM6A-LR-INCA_historical_r1i1p1f1_gr_185001010300-201412312100.nc,v20210216
CMIP,standard,0.0,21914.0,all-forcing simulation of the recent past,historical,6hrPt,LMDZ grid,gr,IPSL,250 km,C M I P,piControl,IPSL-CM6A-LR-INCA,days since 1850-01-01 00:00:00,r1i1p1f1,model-output,atmos,IPSL-CM6A-LR-INCA,AOGCM BGC AER,none,none,6hrPlevPt,sfcWind,r1i1p1f1,r1i1p1f1,wind_speed,Near-Surface Wind Speed,m s-1,1,,1850-01-01 06:00:00,2010-01-01 00:00:00,1850-01-01 06:00:00-2010-01-01 00:00:00,/uda/cmip6/CMIP/IPSL/IPSL-CM6A-LR-INCA/historical/r1i1p1f1/6hrPlevPt/sfcWind/gr/v20210216/sfcWind_6hrPlevPt_IPSL-CM6A-LR-INCA_historical_r1i1p1f1_gr_185001010600-201001010000.nc,v20210216
CMIP,standard,0.0,21914.0,all-forcing simulation of the recent past,historical,day,LMDZ grid,gr,IPSL,250 km,C M I P,piControl,IPSL-CM6A-LR-INCA,days since 1850-01-01 00:00:00,r1i1p1f1,model-output,aerosol,IPSL-CM6A-LR-INCA,AOGCM BGC AER,none,none,AERday,od550aer,r1i1p1f1,r1i1p1f1,atmosphere_optical_thickness_due_to_ambient_aerosol_particles,ambient aerosol optical thickness at 550 nm,1,1,,1850-01-01 12:00:00,2014-12-31 12:00:00,1850-01-01 12:00:00-2014-12-31 12:00:00,/uda/cmip6/CMIP/IPSL/IPSL-CM6A-LR-INCA/historical/r1i1p1f1/AERday/od550aer/gr/v20210216/od550aer_AERday_IPSL-CM6A-LR-INCA_historical_r1i1p1f1_gr_18500101-20141231.nc,v20210216
CMIP,standard,0.0,21914.0,all-forcing simulation of the recent past,historical,mon,LMDZ grid,gr,IPSL,250 km,C M I P,piControl,IPSL-CM6A-LR-INCA,days since 1850-01-01 00:00:00,r1i1p1f1,model-output,aerosol,IPSL-CM6A-LR-INCA,AOGCM BGC AER,none,none,AERmon,bldep,r1i1p1f1,r1i1p1f1,atmosphere_boundary_layer_thickness,Boundary Layer Depth,m,1,,1850-01-16 12:00:00,2014-12-16 12:00:00,1850-01-16 12:00:00-2014-12-16 12:00:00,/uda/cmip6/CMIP/IPSL/IPSL-CM6A-LR-INCA/historical/r1i1p1f1/AERmon/bldep/gr/v20210216/bldep_AERmon_IPSL-CM6A-LR-INCA_historical_r1i1p1f1_gr_185001-201412.nc,v20210216
CMIP,standard,0.0,21914.0,all-forcing simulation of the recent past,historical,mon,LMDZ grid,gr,IPSL,250 km,C M I P,piControl,IPSL-CM6A-LR-INCA,days since 1850-01-01 00:00:00,r1i1p1f1,model-output,aerosol,IPSL-CM6A-LR-INCA,AOGCM BGC AER,none,none,AERmon,drybc,r1i1p1f1,r1i1p1f1,minus_tendency_of_atmosphere_mass_content_of_elemental_carbon_dry_aerosol_particles_due_to_dry_deposition,dry deposition rate of black carbon aerosol mass,kg m-2 s-1,1,,1850-01-16 12:00:00,2014-12-16 12:00:00,1850-01-16 12:00:00-2014-12-16 12:00:00,/uda/cmip6/CMIP/IPSL/IPSL-CM6A-LR-INCA/historical/r1i1p1f1/AERmon/drybc/gr/v20210216/drybc_AERmon_IPSL-CM6A-LR-INCA_historical_r1i1p1f1_gr_185001-201412.nc,v20210216
CMIP,standard,0.0,21914.0,all-forcing simulation of the recent past,historical,mon,LMDZ grid,gr,IPSL,250 km,C M I P,piControl,IPSL-CM6A-LR-INCA,days since 1850-01-01 00:00:00,r1i1p1f1,model-output,aerosol,IPSL-CM6A-LR-INCA,AOGCM BGC AER,none,none,AERmon,drynh3,r1i1p1f1,r1i1p1f1,minus_tendency_of_atmosphere_mass_content_of_ammonia_due_to_dry_deposition,dry deposition rate of nh3,kg m-2 s-1,1,,1850-01-16 12:00:00,2014-12-16 12:00:00,1850-01-16 12:00:00-2014-12-16 12:00:00,/uda/cmip6/CMIP/IPSL/IPSL-CM6A-LR-INCA/historical/r1i1p1f1/AERmon/drynh3/gr/v20210216/drynh3_AERmon_IPSL-CM6A-LR-INCA_historical_r1i1p1f1_gr_185001-201412.nc,v20210216
CMIP,standard,0.0,21914.0,all-forcing simulation of the recent past,historical,mon,LMDZ grid,gr,IPSL,250 km,C M I P,piControl,IPSL-CM6A-LR-INCA,days since 1850-01-01 00:00:00,r1i1p1f1,model-output,aerosol,IPSL-CM6A-LR-INCA,AOGCM BGC AER,none,none,AERmon,drynh4,r1i1p1f1,r1i1p1f1,minus_tendency_of_atmosphere_mass_content_of_ammonium_dry_aerosol_particles_due_to_dry_deposition,dry deposition rate of nh4,kg m-2 s-1,1,,1850-01-16 12:00:00,2014-12-16 12:00:00,1850-01-16 12:00:00-2014-12-16 12:00:00,/uda/cmip6/CMIP/IPSL/IPSL-CM6A-LR-INCA/historical/r1i1p1f1/AERmon/drynh4/gr/v20210216/drynh4_AERmon_IPSL-CM6A-LR-INCA_historical_r1i1p1f1_gr_185001-201412.nc,v20210216
CMIP,standard,0.0,21914.0,all-forcing simulation of the recent past,historical,mon,LMDZ grid,gr,IPSL,250 km,C M I P,piControl,IPSL-CM6A-LR-INCA,days since 1850-01-01 00:00:00,r1i1p1f1,model-output,aerosol,IPSL-CM6A-LR-INCA,AOGCM BGC AER,none,none,AERmon,drynoy,r1i1p1f1,r1i1p1f1,minus_tendency_of_atmosphere_mass_content_of_noy_expressed_as_nitrogen_due_to_dry_deposition,dry deposition rate of noy,kg m-2 s-1,1,,1850-01-16 12:00:00,2014-12-16 12:00:00,1850-01-16 12:00:00-2014-12-16 12:00:00,/uda/cmip6/CMIP/IPSL/IPSL-CM6A-LR-INCA/historical/r1i1p1f1/AERmon/drynoy/gr/v20210216/drynoy_AERmon_IPSL-CM6A-LR-INCA_historical_r1i1p1f1_gr_185001-201412.nc,v20210216
CMIP,standard,0.0,21914.0,all-forcing simulation of the recent past,historical,mon,LMDZ grid,gr,IPSL,250 km,C M I P,piControl,IPSL-CM6A-LR-INCA,days since 1850-01-01 00:00:00,r1i1p1f1,model-output,aerosol,IPSL-CM6A-LR-INCA,AOGCM BGC AER,none,none,AERmon,dryso2,r1i1p1f1,r1i1p1f1,minus_tendency_of_atmosphere_mass_content_of_sulfur_dioxide_due_to_dry_deposition,dry deposition rate of so2,kg m-2 s-1,1,,1850-01-16 12:00:00,2014-12-16 12:00:00,1850-01-16 12:00:00-2014-12-16 12:00:00,/uda/cmip6/CMIP/IPSL/IPSL-CM6A-LR-INCA/historical/r1i1p1f1/AERmon/dryso2/gr/v20210216/dryso2_AERmon_IPSL-CM6A-LR-INCA_historical_r1i1p1f1_gr_185001-201412.nc,v20210216
