GFDL_varname,CMOR_varname,standard_name,long_name,modeling_realm,cmor_units
prec_conv,prc,convective_precipitation_flux,Convective Precipitation,atmos,kg m-2 s-1
expcalc,expcalc,sinking_mole_flux_of_calcite_expressed_as_carbon_in_sea_water,Sinking Calcite Flux,ocean_biochem,mol m-2 s-1
conv_freq,ci,convection_time_fraction,Fraction of Time Convection Occurs,atmos,1
cltcalipso,cltcalipso,cloud_area_fraction,CALIPSO Total Cloud Fraction,atmos,%
ps,ps,surface_air_pressure,Surface Air Pressure,atmos,Pa
tauu,tauuClim,surface_downward_eastward_stress,Surface Downward Eastward Wind Stress,atmos,Pa
pme_river,wfonocorr,water_flux_into_sea_water_without_flux_correction,Water Flux into Sea Water Without Flux Correction,ocean,kg m-2 s-1
cLeaf,cLeaf,leaf_carbon_content,Carbon Mass in Leaves,land,kg m-2
precip,pr,precipitation_flux,Precipitation,atmos,kg m-2 s-1
so2_wet_dep,wetso2,tendency_of_atmosphere_mass_content_of_sulfur_dioxide_due_to_wet_deposition,Wet Deposition Rate of SO2,aerosol,kg m-2 s-1
sconcbc,sconcbc,mass_concentration_of_black_carbon_dry_aerosol_in_air,Surface Concentration of Black Carbon Aerosol,aerosol,kg m-3
thetaoga,thetaoga,sea_water_potential_temperature,Global Average Sea Water Potential Temperature,ocean,K
WVP,prwClim,atmosphere_water_vapor_content,Water Vapor Path,atmos,kg m-2
tnt2,tnt,tendency_of_air_temperature,Tendency of Air Temperature,atmos,K s-1
tauu,tauu,surface_downward_eastward_stress,Surface Downward Eastward Wind Stress,atmos,Pa
t_ref,tas,air_temperature,Air Temperature,atmos,K
hfxba,hfxba,ocean_heat_x_transport_due_to_bolus_advection,Ocean Heat X Transport due to Bolus Advection,ocean,W
q_ref,huss,specific_humidity,Near-Surface Specific Humidity,atmos,1
areacella,areacella,cell_area,Atmosphere Grid-Cell Area,atmosphere & land,m2
pdi,pdi,tendency_of_mole_concentration_of_particulate_organic_matter_expressed_as_carbon_in_sea_water_due_to_net_primary_production_by_diatoms,Diatom Primary Carbon Production,ocean_biochem,mol m-3 s-1
ialb,ialb,bare_sea_ice_albedo,Bare Sea Ice Albedo,ocean & ice,1
dispkexyfo,dispkexyfo,ocean_kinetic_energy_dissipation_per_unit_area_due_to_xy_friction,Ocean Kinetic Energy Dissipation Per Unit Area due to XY Friction,ocean,W m-2
total_mass_seawater,masso,sea_water_mass,Sea Water Mass,ocean,kg
ps,psClim,surface_air_pressure,Surface Air Pressure,atmos,Pa
agessc,agessc,sea_water_age_since_surface_contact,Sea Water Age Since Surface Contact,ocean,yr
hfx,hfx,ocean_heat_x_transport,Ocean Heat X Transport,ocean,W
qo3v,tro3Clim,mole_fraction_of_ozone_in_air,Mole Fraction of O3,atmos,1e-9
sos,sos,sea_surface_salinity,Sea Surface Salinity,ocean,psu
clmcalipso,clmcalipso,cloud_area_fraction_in_atmosphere_layer,CALIPSO Mid Level Cloud Fraction,atmos,%
pon,pon,mole_concentration_of_particulate_organic_matter_expressed_as_nitrogen_in_sea_water,Particulate Organic Nitrogen Concentration at Surface,ocean_biochem,mol m-3
swup_toa,rsut,toa_outgoing_shortwave_flux,TOA Outgoing Shortwave Radiation,atmos,W m-2
bc_wet_dep,wetbc,tendency_of_atmosphere_mass_content_of_black_carbon_dry_aerosol_due_to_wet_deposition,Wet Deposition Rate of Black Carbon Aerosol Mass,aerosol,kg m-2 s-1
po4,po4,mole_concentration_of_phosphate_in_sea_water,Dissolved Phosphate Concentration at Surface,ocean_biochem,mol m-3
evap,evap,water_evaporation_flux,Water Evaporation Flux from Sea Ice,ocean & ice,kg m-2 s-1
calc,calc,mole_concentration_of_calcite_expressed_as_carbon_in_sea_water,Calcite Concentration,ocean_biochem,mol m-3
dissoc,dissoc,mole_concentration_of_dissolved_organic_carbon_in_sea_water,Dissolved Organic Carbon Concentration,ocean_biochem,mol m-3
